peak_index,wavelength_um,flux,prominence,snr,width_channels,width_um,gaussian_center,gaussian_center_err,gaussian_fwhm,gaussian_fwhm_err,gaussian_flux,gaussian_flux_err,reduced_chi2,dof,resolving_power,fwhm_inst_um,fwhm_intrinsic_um,sigma_v_kms,sigma_v_err_kms,identified_species,rest_wavelength,confidence
87,9.01002,3.924546e+00,5.122113e+00,8.99,6.81,0.31379,8.99919,0.01631,0.21422,0.03778,9.912226e-01,1.531897e-01,0.892,18,3020,0.00298,0.21420,3030.21,534.47,[Ar III],8.99100,0.620
102,9.70140,2.931400e+00,4.362214e+00,7.66,6.32,0.29112,9.69032,0.02062,0.18197,0.04802,6.159853e-01,1.418606e-01,0.831,18,2937,0.00330,0.18194,2390.34,630.96,H₂,9.66500,0.272
120,10.53106,5.275039e+00,6.373489e+00,11.19,6.37,0.29371,10.51771,0.01271,0.21216,0.02917,1.303683e+00,1.582013e-01,1.921,18,2838,0.00371,0.21213,2567.72,353.18,[S IV],10.51100,0.599
137,11.31463,3.320677e+01,3.527140e+01,61.90,8.86,0.40831,11.30090,0.00364,0.37700,0.00797,1.355882e+01,2.671857e-01,0.240,18,2744,0.00412,0.37698,4246.82,89.77,PAH,11.30000,0.707
158,12.28257,1.867711e+00,2.901246e+00,5.09,6.41,0.29534,12.73475,0.02300,0.11296,0.04835,8.182540e-01,3.289448e-01,1.076,18,2682,0.00475,0.11286,1128.31,483.80,H₂,12.27900,0.929
170,12.83567,7.820993e+00,9.426185e+00,16.54,6.29,0.28990,12.81396,0.00871,0.20952,0.01980,1.952432e+00,1.639932e-01,1.232,18,2674,0.00479,0.20947,2081.10,196.77,[Ne II],12.81400,0.567
261,17.03006,5.384993e+00,7.178820e+00,12.60,6.86,0.31625,17.02595,0.01266,0.21850,0.02904,1.404592e+00,1.647544e-01,0.917,18,2252,0.00756,0.21837,1632.87,217.27,H₂,17.03500,0.901
284,18.09018,1.071488e+00,2.472359e+00,4.34,15.66,0.72195,18.07276,0.06776,0.23116,0.15955,2.641722e-01,1.579135e-01,0.464,18,1685,0.01073,0.23091,1626.58,1125.15,,,
297,18.68938,8.418161e+00,9.887359e+00,17.35,6.26,0.28861,18.71384,0.00847,0.21699,0.01925,2.159264e+00,1.703906e-01,0.810,18,1659,0.01128,0.21670,1474.20,131.15,[S III],18.71300,0.528
312,19.38076,1.231150e+00,2.326479e+00,4.08,8.97,0.41366,19.36596,0.05514,0.22614,0.12984,3.155443e-01,1.569032e-01,0.232,18,1633,0.01186,0.22583,1484.58,854.75,,,
421,24.40481,9.634313e-01,1.755027e+00,3.08,6.78,0.31267,24.44221,0.06458,0.16920,0.15208,1.770077e-01,1.377827e-01,0.158,18,1430,0.01709,0.16833,876.78,796.19,,,
446,25.55711,1.078539e+00,2.008527e+00,3.52,6.14,0.28287,25.53814,0.05627,0.14041,0.13250,1.541022e-01,1.259368e-01,0.086,18,1386,0.01842,0.13920,693.92,666.30,,,
