peak_index,wavelength_um,flux,prominence,snr,width_channels,width_um,gaussian_center,gaussian_center_err,gaussian_fwhm,gaussian_fwhm_err,gaussian_flux,gaussian_flux_err,reduced_chi2,dof,resolving_power,fwhm_inst_um,fwhm_intrinsic_um,sigma_v_kms,sigma_v_err_kms,identified_species,rest_wavelength,confidence
87,9.00200,3.556671e+00,4.956395e+00,7.20,6.70,0.30824,8.99096,0.02809,0.20118,0.06615,8.460367e-01,2.409243e-01,0.498,18,3021,0.00298,0.20116,2848.32,936.80,[Ar III],8.99100,0.780
102,9.69200,2.525871e+00,4.383064e+00,6.37,6.34,0.29154,9.68022,0.03658,0.16499,0.08614,4.825703e-01,2.181915e-01,0.513,18,2938,0.00329,0.16495,2169.39,1133.07,H₂,9.66500,0.460
120,10.52000,4.841134e+00,6.378355e+00,9.27,6.38,0.29327,10.50697,0.02104,0.20191,0.04954,1.135970e+00,2.413910e-01,0.808,18,2839,0.00370,0.20187,2446.02,600.39,[S IV],10.51100,0.820
137,11.30200,3.276128e+01,3.525211e+01,51.24,8.86,0.40734,11.28766,0.00455,0.37310,0.01072,1.320404e+01,3.283599e-01,0.187,18,2745,0.00411,0.37307,4207.80,120.96,PAH,11.30000,0.960
158,12.26800,1.425901e+00,2.903781e+00,4.22,6.41,0.29488,12.71990,0.03705,0.10713,0.08228,7.280779e-01,5.088347e-01,0.426,18,2683,0.00474,0.10702,1071.15,824.37,H₂,12.27900,0.780
170,12.82000,7.389135e+00,9.431821e+00,13.71,6.29,0.28940,12.79861,0.01363,0.20501,0.03211,1.793374e+00,2.432298e-01,0.605,18,2675,0.00478,0.20496,2038.76,319.46,[Ne II],12.81400,0.880
261,17.00600,5.151293e+00,7.164464e+00,10.41,6.85,0.31528,17.00267,0.01992,0.21448,0.04691,1.312993e+00,2.486826e-01,0.439,18,2255,0.00754,0.21435,1604.95,351.44,H₂,17.03500,0.420
284,18.06400,9.042537e-01,2.449333e+00,3.56,15.60,0.71772,18.05081,0.11642,0.19132,0.27415,1.892758e-01,2.348863e-01,0.189,18,1686,0.01071,0.19102,1347.24,1936.59,,,
297,18.66200,8.288192e+00,9.870494e+00,14.35,6.26,0.28782,18.68660,0.01266,0.21806,0.02981,2.118017e+00,2.507802e-01,0.351,18,1661,0.01125,0.21777,1483.64,203.38,,,
312,19.35200,1.142743e+00,2.297109e+00,3.34,8.92,0.41028,19.33665,0.09345,0.21287,0.22005,2.768061e-01,2.477996e-01,0.104,18,1635,0.01183,0.21255,1399.37,1451.01,,,
