peak_index,wavelength_um,flux,prominence,snr,width_channels,width_um,gaussian_center,gaussian_center_err,gaussian_fwhm,gaussian_fwhm_err,gaussian_flux,gaussian_flux_err,reduced_chi2,dof,resolving_power,fwhm_inst_um,fwhm_intrinsic_um,sigma_v_kms,sigma_v_err_kms,identified_species,rest_wavelength,confidence
87,9.00200,1.004196e+00,1.768574e+00,3.37,6.27,0.28834,9.02364,0.07715,0.16398,0.18167,2.024911e-01,1.942766e-01,0.236,18,3017,0.00299,0.16396,2313.19,2563.54,[Ar III],8.99100,0.780
101,9.64600,9.274232e-01,1.931198e+00,3.68,6.04,0.27769,9.65462,0.08243,0.13874,0.19409,1.474988e-01,1.787019e-01,0.277,18,2941,0.00328,0.13870,1829.01,2560.14,H₂,9.66500,0.620
120,10.52000,1.712040e+00,2.185931e+00,4.16,6.66,0.30616,10.51691,0.05667,0.22132,0.13345,4.322452e-01,2.257114e-01,0.109,18,2838,0.00371,0.22129,2678.81,1615.68,[S IV],10.51100,0.820
137,11.30200,1.210593e+01,1.349047e+01,25.69,8.04,0.36984,11.29930,0.01017,0.32456,0.02396,4.275424e+00,2.733445e-01,0.095,18,2744,0.00412,0.32454,3656.58,270.01,PAH,11.30000,0.960
169,12.77400,2.278876e+00,3.114173e+00,5.93,6.04,0.27777,12.77779,0.03882,0.18753,0.09141,4.921419e-01,2.077616e-01,0.073,18,2677,0.00477,0.18747,1867.84,911.10,[Ne II],12.81400,0.200
262,17.05200,1.484371e+00,2.278553e+00,4.34,7.20,0.33116,17.04431,0.06314,0.20795,0.14868,3.532655e-01,2.187420e-01,0.047,18,2251,0.00757,0.20781,1552.19,1111.27,H₂,17.03500,0.660
298,18.70800,2.603690e+00,3.868664e+00,7.37,6.44,0.29642,18.69741,0.03678,0.19669,0.08661,5.579073e-01,2.127501e-01,0.083,18,1660,0.01126,0.19636,1337.04,590.67,[S III],18.71300,0.900
310,19.26000,1.094574e+00,1.680048e+00,3.20,6.86,0.31534,19.27721,0.09205,0.20482,0.21676,2.368878e-01,2.171114e-01,0.107,18,1637,0.01178,0.20448,1350.44,1433.91,,,
372,22.11200,1.122096e+00,1.738796e+00,3.31,5.64,0.25930,22.13674,0.10916,0.21810,0.25705,2.195239e-01,2.240578e-01,0.022,18,1523,0.01454,0.21762,1251.54,1481.59,,,
416,24.13600,8.853014e-01,1.671278e+00,3.18,5.94,0.27306,24.17164,0.09357,0.15369,0.22034,1.514853e-01,1.880783e-01,0.211,18,1441,0.01677,0.15278,804.66,1167.49,,,
452,25.79200,1.043502e+00,2.259871e+00,4.30,19.59,0.90094,25.80349,0.11470,0.28164,0.27009,3.066393e-01,2.546627e-01,0.064,18,1376,0.01875,0.28102,1386.50,1335.54,,,
480,27.08000,8.513063e-01,1.995568e+00,3.80,19.53,0.89833,27.07610,0.12189,0.23887,0.28703,2.255693e-01,2.347301e-01,0.011,18,1325,0.02044,0.23800,1119.05,1354.56,,,
