line_name,rest_wavelength_micron,ionization_class,species_type,notes
[Mg VII] 5.503,5.503,very_high,atomic_fine_structure,Coronal line; AGN diagnostic
[Mg V] 5.610,5.610,very_high,atomic_fine_structure,Coronal line; requires hard radiation field
PAH 6.2,6.200,neutral,pah_feature,C-C stretching mode; strong in star-forming regions
[Si VII] 6.492,6.492,very_high,atomic_fine_structure,Coronal line; very high ionization
H2 S(7) 5.5115,5.5115,molecular,molecular_hydrogen,Highest-J pure rotational line commonly detected
H2 S(6) 6.1088,6.1088,molecular,molecular_hydrogen,Warm molecular gas tracer
H2 S(5) 6.9091,6.9091,molecular,molecular_hydrogen,Warm molecular gas tracer; T_ex ~ 1000 K
[Ar II] 6.9853,6.9853,low,atomic_fine_structure,Common in HII regions and PDR interfaces
Pfund-alpha 7.4599,7.4599,recombination,hydrogen_recombination,Hydrogen recombination; star-forming regions
Humphreys-beta 7.5025,7.5025,recombination,hydrogen_recombination,Hydrogen recombination line
PAH 7.7,7.700,neutral,pah_feature,Blended C-C stretching complex; brightest PAH band
H2 S(4) 8.0250,8.0250,molecular,molecular_hydrogen,Shock or UV-heated gas tracer
PAH 8.6,8.600,neutral,pah_feature,C-H in-plane bending mode
[Ar III] 8.9914,8.9914,intermediate,atomic_fine_structure,Harder ionizing field indicator
H2 S(3) 9.6649,9.6649,molecular,molecular_hydrogen,Strong in warm molecular gas; T_ex ~ 600 K
[S IV] 10.5105,10.5105,high,atomic_fine_structure,High-ionization diagnostic; AGN and WR nebulae
PAH 11.3,11.300,neutral,pah_feature,C-H out-of-plane bending; solo hydrogen mode
[Ca V] 11.480,11.480,very_high,atomic_fine_structure,Coronal line; AGN indicator
H2 S(2) 12.2786,12.2786,molecular,molecular_hydrogen,Pure rotational transition
Humphreys-alpha 12.3719,12.3719,recombination,hydrogen_recombination,Hydrogen recombination; blended near H2 S(2)
PAH 12.7,12.700,neutral,pah_feature,C-H out-of-plane bending; often blended with [Ne II]
[Ne II] 12.8136,12.8136,low,atomic_fine_structure,Strong star-formation line; primary low-excitation tracer
[Ar V] 13.1022,13.1022,very_high,atomic_fine_structure,AGN-sensitive coronal line
[Mg V] 13.521,13.521,very_high,atomic_fine_structure,Coronal line; hard ionization diagnostic
[Ne V] 14.3217,14.3217,very_high,atomic_fine_structure,AGN/coronal diagnostic; requires > 97 eV
[Cl II] 14.3684,14.3684,low,atomic_fine_structure,Common in ionized gas; often blended with [Ne V]
CO2 ice 15.2,15.200,absorption,ice_absorption,Solid CO2 feature; protostellar/icy environments
[Ne III] 15.5551,15.5551,intermediate,atomic_fine_structure,Excitation hardness tracer; [Ne III]/[Ne II] ratio
PAH 16.4,16.400,neutral,pah_feature,C-C-C skeletal bending mode
H2 S(1) 17.0348,17.0348,molecular,molecular_hydrogen,Common warm molecular line; T_ex ~ 400 K
PAH 17.0,17.040,neutral,pah_feature,C-C-C bending; weak; often blended with H2 S(1)
[P III] 17.8850,17.8850,intermediate,atomic_fine_structure,Phosphorus fine-structure line
[Fe II] 17.9360,17.9360,low,atomic_fine_structure,Shock tracer; partially ionized gas
[S III] 18.7130,18.7130,intermediate,atomic_fine_structure,Nebular density and ionization diagnostic
[Ar III] 21.8290,21.8290,intermediate,atomic_fine_structure,Argon fine-structure; ionization diagnostic
[Fe III] 22.9250,22.9250,intermediate,atomic_fine_structure,Iron fine-structure; shock/ionization tracer
[Ne V] 24.3175,24.3175,very_high,atomic_fine_structure,AGN coronal line; strong in Seyferts
[O IV] 25.8903,25.8903,high,atomic_fine_structure,Hard radiation field/shock tracer; 54.9 eV
[Fe II] 25.9883,25.9883,low,atomic_fine_structure,Shock and partially ionized gas; SN remnants
H2 S(0) 28.2190,28.2190,molecular,molecular_hydrogen,Cooler molecular component; T_ex ~ 150 K
[S III] 33.4810,33.4810,intermediate,atomic_fine_structure,Density-sensitive; [S III] 18.7/33.5 ratio
[Si II] 34.8152,34.8152,low,atomic_fine_structure,Very strong PDR coolant; brightest MIR FS line
[Fe II] 35.3490,35.3490,low,atomic_fine_structure,Iron fine-structure; shock diagnostic
[Ne III] 36.0135,36.0135,intermediate,atomic_fine_structure,Neon fine-structure; complements 15.55
